ID,名称,市场价,售价,每人次费用,上架日期,分类,是否为充值卡
1,iPhone 7 32GB  磨砂黑 移动联通电信4G手机,,5860,10,2016/11/14,手机,
2,iPhone 7 128GB 亮黑 移动联通电信4G手机  ,,6940,10,2016/11/12,手机,
3,iPhone 7 128GB 土豪金 移动联通电信4G手机,,6920,10,2016/11/15,手机,
4,iPhone 7 128GB 玫瑰金 移动联通电信4G手机,,6820,10,2016/11/12,手机,
5,iPhone 7 Plus 128GB 亮黑 移动联通电信4G手机,,8940,10,2016/11/12,手机,
6,iPhone 7 Plus 128GB 土豪金 移动联通电信4G手机 ,,8620,10,2016/11/11,手机,
7,iPhone 7 Plus 128GB 磨砂黑 移动联通电信4G手机 ,,8680,10,2016/11/12,手机,
8,iPhone 7 Plus 128GB 玫瑰金 移动联通电信4G手机,,8580,10,2016/11/12,手机,
9,华为P9 全网通 3GB+32GB版 流光金 移动联通电信4G手机 双卡双待,,3060,1,2016/11/10,手机,
10,华为P9 4G手机 琥珀金 全网通(4GB+64GB)标配,,3700,1,2016/11/12,手机,
11,华为P9 全网通 4GB+64GB版 玫瑰金 移动联通电信4G手机 双卡双待,,4060,1,2016/11/12,手机,
12,OPPO R9s 全网通4G+64GB 双卡双待手机 金色,,2950,1,2016/11/11,手机,
13,OPPO R9s 全网通4G+64GB 双卡双待手机 玫瑰金,,2950,1,2016/11/12,手机,
14,红米4 2GB+16GB 金色 标准版 全网通2.0 高通骁龙430 处理器 最高主频 1.4GHz Adreno 505 450MHz,,936,1,2016/11/14,手机,
15,红米4 2GB+16GB 银色 标准版 全网通2.0 高通骁龙430 处理器 最高主频 1.4GHz Adreno 505 450MHz,,936,1,2016/11/15,手机,
16,红米4 3GB+32GB 金色 高配版 全网通3.0 高通骁龙625 处理器 最高主频 2.0GHz Adreno 506 650MHz,,1188,1,2016/11/11,手机,
17,红米4 3GB+32GB 银色 高配版 全网通3.0 高通骁龙625 处理器 最高主频 2.0GHz Adreno 506 650MHz,,1188,1,2016/11/10,手机,
18,红米Note 4 2GB+16GB 金色 标准版 全网通 MTK Helio X20 10核 最高主频 2.1GHz ,,1164,1,2016/11/15,手机,
19,红米Note 4 3GB+32GB 金色 特供版 全网通 MTK Helio X20 10核 最高主频 2.1GHz ,,1212,1,2016/11/11,手机,
20,小米 Max手机 双卡双待 金色 全网通4G 2GB+16GB 标配,,1212,1,2016/11/12,手机,
21,红米3S 4G手机 金色 双卡双待 全网通 2GB+16GB 标配,,840,1,2016/11/13,手机,
22,红米3S 4G手机 银白色 双卡双待 全网通 2GB+16GB 标配,,840,1,2016/11/14,手机,
23,三星Galaxy A7手机 雪域白 双4G(A7000)(2G RAM+16G ROM）,,1230,1,2016/11/10,手机,
24,三星Galaxy A7手机 魔幻金 双4G(A7000)(2G RAM+16G ROM）,,1230,1,2016/11/11,手机,
25,三星 2016版 Galaxy On5 （G5700） 32G 嫣霞粉 全网通 4G手机 双卡双待,,1020,1,2016/11/13,手机,
26,三星 2016版 Galaxy On5 （G5700） 32G 流沙金 全网通 4G手机 双卡双待,,1020,1,2016/11/13,手机,
27,华为 G7 Plus 4G 手机 香槟银 移动4G(2G RAM+16G ROM)双卡双待,,1188,1,2016/11/14,手机,
28,Apple iPad mini 4 MNY32CH 7.9英寸 32G WLAN版 金色,,3160,1,2016/11/16,数码,
29,Apple iPad mini 4 MK9Q2CH/A 7.9英寸 128G WLAN版 金色,,3950,1,2016/11/10,数码,
30,Apple iPad Air 2 平板电脑 9.7英寸 WIFI版32G 金色,,3400,1,2016/11/11,数码,
31,Apple iPad Air 2 平板电脑 9.7英寸 WIFI版128G 金色,,3400,1,2016/11/12,数码,
32,Apple iPad Pro 平板电脑 9.7 英寸 玫瑰金 32G WiFi版,,4780,1,2016/11/15,数码,
33,Apple iPad Pro 平板电脑 9.7 英寸 玫瑰金 128G WiFi版,,5590,10,2016/11/12,数码,
34,Apple 新款 MacBook Air 13.3英寸笔记本电脑 低配i5 8G内存128G闪存 GF2 银色,,7080,10,2016/11/14,数码,
35,Apple 新款 MacBook Air 13.3英寸笔记本电脑 高配i5 8G内存256G闪存 GG2 银色,,8440,10,2016/11/12,数码,
36,Apple MacBook 12英寸笔记本电脑 玫瑰金 256GB闪存 MMGL2CH,,9940,10,2016/11/13,数码,
37,Apple MacBook 12英寸笔记本电脑 金色 256GB闪存 MLHE2CH,,9940,10,2016/11/12,数码,
38,Apple苹果 MacBook Pro 13.3英寸笔记本 银色 MF839CH/A-128G闪存,,9220,10,2016/11/11,数码,
39,Apple苹果 MacBook Pro 15.4英寸笔记本 银色 MJLQ2CH-128G闪存,,14020,10,2016/11/12,数码,
40,Apple iMac 21.5英寸一体机 银色 （1.6Ghz双核 Intel Core i5 处理器/8GB内存/1TB存储 MK142CH）,,8410,10,2016/11/15,数码,
41,Apple iMac 27英寸一体机 银色（3.2Ghz四核 Intel Core i5 处理器/8GB内存/1TB存储/2GB独显/Retina 5K屏 MK462CH）,,13920,10,2016/11/12,数码,
42,中国移动50元话费充值卡,,60,1,2016/11/11,话费充值,是
43,中国移动100元话费充值卡,,120,1,2016/11/12,话费充值,是
44,中国移动500元话费充值卡,,600,1,2016/11/11,话费充值,是
45,中国电信50元话费充值卡,,60,1,2016/11/12,话费充值,是
46,中国电信100元话费充值卡,,120,1,2016/11/15,话费充值,是
47,中国电信500元话费充值卡,,600,1,2016/11/12,话费充值,是
48,中国联通50元话费充值卡,,60,1,2016/11/11,话费充值,是
49,中国联通100元话费充值卡,,120,1,2016/11/10,话费充值,是
50,奥迪A4L 2017款40TFSI 时尚型,,339800,10,2016/11/12,汽车,
51,奔驰C200 2016款C200L4MATIC 运动版,,399800,10,2016/11/10,汽车,
52,斯巴鲁  傲虎 2.5运动导航版,,316800,10,2016/11/12,汽车,
53,凯迪拉克ATS-L 2016款 28T 精英型,,338800,10,2016/11/15,汽车,
54,金一Au9999理财投资金条10克,,3535,1,2016/11/11,黄金,
55,金一Au9999理财投资金条20克,,7070,10,2016/11/12,黄金,
56,金一Au9999理财投资金条50克,,17440,10,2016/11/10,黄金,
57,金一Au9999理财投资金条100克,,34870,10,2016/11/12,黄金,
58,富贵青花银碗 Ag.999 268g,,4780,10,2016/11/15,黄金,
59,六福银杯Ag.999 39.9克X6,,4780,10,2016/11/12,黄金,
60,青花银筷 Ag.999 30g,,598,1,2016/11/11,黄金,
61,福气到青花银酒壶 Ag.999 179克,,4060,10,2016/11/13,黄金,
